instance,operational_cost,optimal_var_cost,loss_cost,optimal_loss_cost,objective_value,optimal_objective_value,feasible,mean_loss_load_over_demand,std_loss_load_over_demand,training_time,inference_time
0,3712.9324,3712.9324,57614.94140625,0.0,61327.873779296875,3712.932373046875,False,0.39147732,0.7171304,4.2727601528167725,0.0026175515670329333
1,8343.579,8343.579,55413.55078125,18700.001953125,63757.1298828125,27043.5810546875,False,0.43796128,0.93320143,4.2727601528167725,0.0026175515670329333
2,6.9661274,6.9661274,61954.41796875,0.0,61961.38409614563,6.966127395629883,False,0.46854684,0.850912,4.2727601528167725,0.0026175515670329333
3,10314.901,10314.901,56644.7109375,26644.7138671875,66959.6123046875,36959.615234375,False,0.47739196,0.8827977,4.2727601528167725,0.0026175515670329333
4,7598.9463,7598.9463,46835.830078125,0.0,54434.7763671875,7598.9462890625,False,0.30096373,0.54833037,4.2727601528167725,0.0026175515670329333
5,3890.9016,3890.9016,64974.94921875,0.0,68865.85083007812,3890.901611328125,False,0.39927763,0.78878105,4.2727601528167725,0.0026175515670329333
6,4627.312,4627.312,60792.08203125,0.0,65419.39404296875,4627.31201171875,False,0.43853194,0.88903564,4.2727601528167725,0.0026175515670329333
7,10880.38,10880.38,59794.88671875,29794.8896484375,70675.2666015625,40675.26953125,False,0.4657004,0.8691592,4.2727601528167725,0.0026175515670329333
8,5.6255836,5.6255836,57795.55078125,0.0,57801.17636489868,5.625583648681641,False,0.44585335,0.90465033,4.2727601528167725,0.0026175515670329333
9,2540.4468,2540.4468,54209.44921875,0.0,56749.89599609375,2540.44677734375,False,0.41410872,0.9684521,4.2727601528167725,0.0026175515670329333
10,2335.7192,2335.7192,61473.85546875,0.0,63809.57470703125,2335.71923828125,False,0.4578788,0.8648832,4.2727601528167725,0.0026175515670329333
11,5467.4995,5467.4995,63749.15625,0.0,69216.65576171875,5467.49951171875,False,0.44492605,0.86277163,4.2727601528167725,0.0026175515670329333
12,7935.211,7935.211,50956.11328125,20956.10888671875,58891.32421875,28891.31982421875,False,0.46367264,0.95350266,4.2727601528167725,0.0026175515670329333
13,9427.949,9427.949,53284.34765625,23284.3447265625,62712.296875,32712.2939453125,False,0.48515797,0.9066472,4.2727601528167725,0.0026175515670329333
14,10106.986,10106.986,59318.865234375,29318.865234375,69425.8515625,39425.8515625,False,0.45210963,0.8863467,4.2727601528167725,0.0026175515670329333
15,6.680258,6.680258,62858.42578125,0.0,62865.10603904724,6.680257797241211,False,0.45068556,0.8627387,4.2727601528167725,0.0026175515670329333
16,10561.493,10561.493,60945.275390625,30945.275390625,71506.7685546875,41506.7685546875,False,0.45076984,0.8757055,4.2727601528167725,0.0026175515670329333
17,83.326485,83.326485,62523.1640625,0.0,62606.490547180176,83.32648468017578,False,0.45148748,0.86414814,4.2727601528167725,0.0026175515670329333
18,7317.2266,7317.2266,59798.724609375,0.0,67115.951171875,7317.2265625,False,0.43206528,0.90276575,4.2727601528167725,0.0026175515670329333
19,7738.9375,7738.9375,50095.998046875,20095.99658203125,57834.935546875,27834.93408203125,False,0.46590585,0.9614933,4.2727601528167725,0.0026175515670329333
20,5.633186,5.633186,58542.896484375,0.0,58548.529670238495,5.633185863494873,False,0.4389173,0.9055706,4.2727601528167725,0.0026175515670329333
